OrderItemID,OrderID,ProductID,Qty,UnitPrice,DiscountPct,Tax,LineTotal
1,1,320,2,1027.99,15,139.81,1887.39
2,1,281,4,1147.99,15,312.25,4215.42
3,1,344,4,791.99,5,240.76,3250.32
4,1,488,1,732.99,15,49.84,672.88
5,1,471,3,873.99,5,199.27,2690.14
6,1,389,1,1452.99,10,104.62,1412.31
7,2,247,4,1255.99,0,401.92,5425.88
8,2,380,4,1349.99,5,410.4,5540.36
9,2,31,1,542.99,10,39.1,527.79
10,3,175,3,667.99,10,144.29,1947.86
11,3,192,3,192.99,10,41.69,562.76
12,3,497,2,681.99,15,92.75,1252.13
13,3,208,1,1001.99,10,72.14,973.93
14,3,443,2,941.99,10,135.65,1831.23
15,4,395,2,1497.99,15,203.73,2750.31
16,4,373,2,1329.99,0,212.8,2872.78
17,4,287,2,549.99,15,74.8,1009.78
18,4,6,3,98.99,5,22.57,304.69
19,5,107,4,384.99,0,123.2,1663.16
20,5,10,4,551.99,15,150.14,2026.91
21,5,447,4,1108.99,10,319.39,4311.75
22,6,248,1,804.99,10,57.96,782.45
23,6,43,3,423.99,15,86.49,1167.66
24,6,268,4,1229.99,5,373.92,5047.88
25,6,41,3,549.99,15,112.2,1514.67
26,6,92,4,1065.99,10,307.01,4144.57
27,6,215,2,686.99,5,104.42,1409.7
28,7,468,2,757.99,5,115.21,1555.39
29,7,65,2,72.99,5,11.09,149.77
30,7,91,3,1053.99,15,215.01,2902.68
31,8,409,2,773.99,10,111.45,1504.63
32,9,62,1,516.99,0,41.36,558.35
33,9,122,1,1350.99,5,102.68,1386.12
34,9,307,3,1360.99,10,293.97,3968.64
35,9,127,3,1200.99,15,245,3307.52
36,9,442,4,799.99,15,217.6,2937.57
37,9,65,4,72.99,5,22.19,299.55
38,10,20,3,632.99,15,129.13,1743.25
39,10,330,4,791.99,10,228.09,3079.25
40,10,39,2,1415.99,10,203.9,2752.68
41,11,124,1,388.99,15,26.45,357.09
42,11,177,4,1234.99,10,355.68,4801.64
43,11,233,2,133.99,10,19.29,260.47
44,11,195,4,420.99,5,127.98,1727.74
45,11,238,2,280.99,5,42.71,576.59
46,11,439,2,168.99,15,22.98,310.26
47,12,218,3,790.99,15,161.36,2178.38
48,12,283,1,63.99,0,5.12,69.11
49,13,50,4,1364.99,0,436.8,5896.76
50,13,403,2,760.99,10,109.58,1479.36
51,13,26,4,270.99,0,86.72,1170.68
52,13,126,4,1486.99,10,428.25,5781.41
53,13,431,2,124.99,10,18,242.98
