OrderID,CustomerID,OrderDate,Status,Channel
1,235,2025-11-20,Returned,Alexa
2,330,2025-02-06,Delivered,Alexa
3,262,2025-01-14,Cancelled,Mobile
4,482,2025-11-17,Returned,Web
5,31,2025-11-27,Processing,Web
6,48,2025-02-13,Returned,Alexa
7,354,2025-02-01,Cancelled,Web
8,83,2025-10-19,Cancelled,Alexa
9,989,2025-12-26,Returned,Alexa
10,45,2025-04-25,Cancelled,Web
11,775,2025-08-03,Shipped,Mobile
12,94,2025-07-30,Processing,Alexa
13,644,2025-11-16,Delivered,Mobile
14,574,2025-04-05,Delivered,Web
15,732,2025-01-26,Returned,Mobile
16,977,2025-11-23,Cancelled,Web
17,411,2025-01-21,Cancelled,Alexa
18,441,2025-12-05,Shipped,Web
19,485,2025-09-14,Shipped,Mobile
20,298,2025-06-20,Delivered,Mobile
21,115,2025-06-12,Shipped,Mobile
22,61,2025-03-02,Cancelled,Web
23,398,2025-12-13,Shipped,Alexa
24,919,2025-09-10,Cancelled,Alexa
25,536,2025-06-08,Processing,Web
26,230,2025-04-19,Delivered,Web
27,423,2025-06-20,Delivered,Web
28,29,2025-10-12,Cancelled,Web
29,92,2025-05-28,Returned,Mobile
30,120,2025-06-03,Processing,Alexa
31,625,2025-09-14,Returned,Mobile
32,455,2025-05-21,Shipped,Alexa
33,168,2025-09-04,Returned,Mobile
34,206,2025-05-16,Delivered,Web
35,317,2025-04-01,Shipped,Mobile
36,505,2025-11-19,Returned,Alexa
37,155,2025-07-12,Processing,Web
38,732,2025-10-14,Cancelled,Mobile
39,513,2025-01-02,Processing,Mobile
40,233,2025-07-24,Shipped,Alexa
41,134,2025-08-31,Returned,Alexa
42,236,2025-03-24,Shipped,Web
43,207,2025-11-09,Shipped,Alexa
44,974,2025-12-01,Processing,Alexa
45,471,2025-10-15,Cancelled,Web
46,524,2025-08-18,Shipped,Web
47,276,2025-07-15,Cancelled,Mobile
48,500,2025-11-11,Processing,Mobile
49,945,2025-08-08,Returned,Web
50,869,2025-11-23,Returned,Web
51,783,2025-03-21,Delivered,Mobile
52,438,2025-05-24,Shipped,Web
53,764,2025-06-14,Delivered,Mobile
54,842,2025-08-17,Processing,Alexa
55,427,2025-02-06,Processing,Mobile
56,866,2025-05-19,Processing,Web
57,17,2025-04-30,Delivered,Mobile
58,557,2025-06-12,Delivered,Mobile
59,3,2025-11-23,Cancelled,Mobile
60,557,2025-04-15,Returned,Alexa
61,734,2025-04-02,Cancelled,Web
62,621,2025-09-16,Cancelled,Mobile
63,852,2025-02-09,Delivered,Alexa
64,693,2025-07-25,Cancelled,Web
65,337,2025-08-11,Delivered,Mobile
