PaymentID,OrderID,Method,Amount,PaymentStatus
1,1,PayPal,14128.46,Paid
2,2,Visa,11494.03,Paid
3,3,UPI,6567.91,Refunded
4,4,PayPal,6937.56,Paid
5,5,PayPal,8001.82,Paid
6,6,Visa,14066.93,Paid
7,7,PayPal,4607.84,Refunded
8,8,PayPal,1504.63,Refunded
9,9,Mastercard,12457.75,Paid
10,10,UPI,7575.18,Refunded
11,11,UPI,8033.79,Paid
12,12,Mastercard,2247.49,Paid
13,13,UPI,14901.65,Paid
14,14,Mastercard,9583.52,Paid
15,15,PayPal,7289.27,Paid
16,16,Visa,11152.99,Refunded
17,17,UPI,4588.42,Refunded
18,18,Mastercard,5061.26,Paid
19,19,UPI,2183.08,Paid
20,20,Mastercard,1525.52,Paid
21,21,UPI,1844.38,Paid
22,22,UPI,5475.49,Refunded
23,23,Mastercard,8593.03,Paid
24,24,PayPal,1533.04,Refunded
25,25,UPI,5819.98,Paid
26,26,Gift Card,15373.64,Paid
27,27,Mastercard,1282.07,Paid
28,28,Gift Card,4863.18,Refunded
29,29,PayPal,7602.99,Paid
30,30,UPI,7746.36,Paid
31,31,Mastercard,2555.29,Paid
32,32,PayPal,7414.55,Paid
33,33,UPI,5887.02,Paid
34,34,Gift Card,5407.98,Paid
35,35,Mastercard,5972.1,Paid
36,36,Mastercard,4820.19,Paid
37,37,UPI,16051.92,Paid
38,38,Mastercard,1568.75,Refunded
39,39,Visa,8184.48,Paid
40,40,Gift Card,9789.88,Paid
41,41,Visa,5499.09,Paid
42,42,Mastercard,15430.22,Paid
43,43,PayPal,10287.06,Paid
44,44,Gift Card,1717.67,Paid
45,45,Visa,4065.3,Refunded
46,46,Gift Card,7326,Paid
47,47,Visa,11056.47,Refunded
48,48,Gift Card,7028.42,Paid
49,49,Mastercard,5339.86,Paid
50,50,Visa,3418.11,Paid
51,51,Visa,5978.64,Paid
52,52,Mastercard,11545.15,Paid
53,53,Mastercard,660.7,Paid
54,54,Visa,5831.11,Paid
55,55,Visa,4818,Paid
56,56,PayPal,7224.03,Paid
57,57,Gift Card,2895.99,Paid
58,58,PayPal,594.02,Paid
59,59,PayPal,16473.78,Refunded
60,60,Visa,10367.23,Paid
61,61,Visa,14774.89,Refunded
62,62,Gift Card,5659.89,Refunded
63,63,Gift Card,10983.39,Paid
64,64,Mastercard,4422.07,Refunded
65,65,UPI,1263.99,Paid
66,66,Mastercard,299.58,Paid
67,67,PayPal,11835.33,Paid
68,68,Gift Card,14985.33,Paid
69,69,UPI,208,Paid
70,70,Visa,10873.63,Paid
71,71,Gift Card,5512.47,Paid
72,72,PayPal,12103.32,Paid
73,73,PayPal,3678.35,Paid
74,74,PayPal,3350.08,Paid
75,75,Gift Card,6895.65,Paid
76,76,Mastercard,7138.57,Paid
77,77,UPI,8491.48,Refunded
78,78,Visa,12203.57,Paid
79,79,PayPal,5074.71,Paid
80,80,Mastercard,2802.99,Refunded
81,81,PayPal,11178.54,Paid
82,82,PayPal,13152.22,Paid
83,83,Visa,12805.3,Refunded
84,84,PayPal,7522.56,Refunded
85,85,Visa,1146.38,Paid
86,86,Visa,11057.06,Paid
87,87,PayPal,5891.42,Paid
88,88,Mastercard,11323.95,Paid
89,89,Visa,5613.35,Refunded
90,90,Gift Card,6360.72,Paid
91,91,UPI,7945.43,Paid
92,92,Visa,3679.51,Paid
93,93,Visa,7339.36,Paid
94,94,Mastercard,10567.51,Paid
95,95,Mastercard,5425.44,Paid
96,96,Visa,7025.12,Paid
97,97,Mastercard,8708.08,Paid
98,98,Mastercard,930.97,Refunded
99,99,UPI,2249.14,Paid
100,100,UPI,12296.8,Paid
101,101,Mastercard,4300.65,Paid
102,102,Visa,7070.3,Paid
103,103,UPI,6156.88,Paid
104,104,Gift Card,5929.23,Paid
105,105,Gift Card,1458.79,Paid
106,106,UPI,705.64,Paid
107,107,UPI,2365.67,Paid
108,108,UPI,4626.81,Paid
109,109,Gift Card,10202.29,Refunded
110,110,UPI,1204.5,Paid
111,111,UPI,6796.58,Paid
112,112,PayPal,6396.97,Paid
113,113,Mastercard,1978.09,Paid
114,114,Visa,17338.79,Refunded
115,115,PayPal,6415.51,Paid
116,116,Mastercard,8443.89,Paid
117,117,Gift Card,7152.21,Paid
118,118,PayPal,3172.45,Refunded
119,119,Mastercard,10261.81,Paid
120,120,Visa,8694.39,Paid
121,121,Visa,3117.96,Refunded
122,122,Mastercard,10072.06,Refunded
123,123,UPI,2384.26,Paid
124,124,Visa,6730.56,Refunded
125,125,Mastercard,7042.05,Refunded
126,126,Mastercard,3593.63,Paid
127,127,PayPal,7363.31,Paid
128,128,UPI,6925.42,Paid
129,129,PayPal,12033.2,Refunded
130,130,PayPal,1208.06,Paid
131,131,Gift Card,8115.79,Paid
132,132,Mastercard,10097.02,Paid
133,133,PayPal,16285.74,Paid
134,134,Mastercard,3147.28,Paid
135,135,UPI,9122.91,Paid
136,136,Visa,6754,Paid
137,137,PayPal,1804.41,Paid
138,138,Gift Card,4631,Paid
139,139,Mastercard,2477.71,Paid
140,140,Visa,7973.49,Paid
141,141,Mastercard,16313.69,Refunded
142,142,PayPal,10388.91,Paid
143,143,UPI,10437.48,Paid
144,144,PayPal,4680.4,Paid
145,145,UPI,8936.06,Paid
146,146,UPI,2752.54,Refunded
147,147,Mastercard,6475.27,Paid
148,148,Visa,5586.85,Paid
149,149,Gift Card,1561.67,Refunded
150,150,Gift Card,8999.21,Paid
151,151,Mastercard,6461.95,Paid
152,152,Gift Card,3739.43,Paid
153,153,PayPal,7408.39,Paid
154,154,UPI,2402.76,Paid
155,155,Gift Card,3425.78,Paid
156,156,Mastercard,6190.3,Paid
157,157,UPI,1766.31,Refunded
158,158,Visa,1124.54,Paid
159,159,UPI,4061.24,Paid
160,160,Mastercard,8067.86,Paid
161,161,Visa,4170.27,Paid
162,162,Gift Card,6509.75,Paid
163,163,UPI,4449.76,Paid
164,164,UPI,8400.59,Paid
