ProductID,ProductName,Category,SubCategory,Brand,Price,Cost,Stock
1,Sony Item 1,Sports,Outdoor,Samsung,524.99,341.24,391
2,Nike Item 2,Sports,Outdoor,Sony,102.99,66.94,357
3,Philips Item 3,Fashion,Clothing,Apple,889.99,578.49,174
4,Samsung Item 4,Fashion,Clothing,Philips,935.99,608.39,29
5,HP Item 5,Books,Fiction,Nike,1162.99,755.94,176
6,Apple Item 6,Books,Fiction,LG,98.99,64.34,214
7,Apple Item 7,Beauty,Hair,HP,814.99,529.74,18
8,Dell Item 8,Electronics,Accessories,Apple,586.99,381.54,485
9,Apple Item 9,Beauty,Hair,Samsung,896.99,583.04,162
10,Sony Item 10,Beauty,Hair,Philips,551.99,358.79,137
11,Sony Item 11,Beauty,Hair,Sony,1445.99,939.89,120
12,Apple Item 12,Sports,Fitness,Sony,403.99,262.59,267
13,Dell Item 13,Beauty,Hair,Logitech,241.99,157.29,96
14,Philips Item 14,Fashion,Shoes,Nike,1137.99,739.69,7
15,Dell Item 15,Sports,Outdoor,Philips,1374.99,893.74,96
16,HP Item 16,Beauty,Hair,Logitech,809.99,526.49,263
17,Philips Item 17,Sports,Fitness,Logitech,517.99,336.69,13
18,Logitech Item 18,Sports,Outdoor,Nike,825.99,536.89,418
19,Logitech Item 19,Home,Furniture,Samsung,1251.99,813.79,278
20,Sony Item 20,Home,Furniture,Sony,632.99,411.44,440
21,LG Item 21,Books,Fiction,Adidas,683.99,444.59,189
22,Dell Item 22,Sports,Outdoor,Nike,1226.99,797.54,394
23,HP Item 23,Sports,Fitness,Samsung,347.99,226.19,196
24,Adidas Item 24,Electronics,Laptops,Apple,371.99,241.79,85
25,Nike Item 25,Home,Furniture,Apple,109.99,71.49,178
26,Philips Item 26,Sports,Fitness,Nike,270.99,176.14,493
27,Adidas Item 27,Books,Business,Samsung,788.99,512.84,284
28,Dell Item 28,Home,Furniture,HP,176.99,115.04,263
29,Samsung Item 29,Beauty,Skin,Logitech,573.99,373.09,122
30,Dell Item 30,Fashion,Clothing,LG,307.99,200.19,385
31,Logitech Item 31,Home,Kitchen,HP,542.99,352.94,317
32,LG Item 32,Fashion,Shoes,Nike,471.99,306.79,175
33,Dell Item 33,Fashion,Clothing,Logitech,1048.99,681.84,137
34,Samsung Item 34,Sports,Fitness,Dell,67.99,44.19,457
35,Sony Item 35,Beauty,Skin,Philips,1193.99,776.09,10
36,Adidas Item 36,Sports,Fitness,Logitech,624.99,406.24,137
37,HP Item 37,Sports,Fitness,Sony,303.99,197.59,104
38,Samsung Item 38,Sports,Outdoor,Apple,385.99,250.89,177
39,HP Item 39,Books,Business,HP,1415.99,920.39,146
40,Apple Item 40,Sports,Fitness,Nike,506.99,329.54,491
41,Samsung Item 41,Electronics,Accessories,LG,549.99,357.49,483
42,Samsung Item 42,Books,Business,Sony,1420.99,923.64,148
43,Philips Item 43,Beauty,Skin,LG,423.99,275.59,35
44,Philips Item 44,Fashion,Clothing,Apple,586.99,381.54,260
45,Sony Item 45,Books,Fiction,Dell,896.99,583.04,471
46,Logitech Item 46,Beauty,Hair,Samsung,941.99,612.29,225
47,Logitech Item 47,Home,Kitchen,Nike,498.99,324.34,73
48,Samsung Item 48,Fashion,Shoes,Sony,1148.99,746.84,71
49,Nike Item 49,Beauty,Skin,Adidas,124.99,81.24,151
50,Sony Item 50,Home,Furniture,Dell,1364.99,887.24,204
51,Adidas Item 51,Sports,Fitness,Samsung,246.99,160.54,225
52,Apple Item 52,Books,Business,Samsung,449.99,292.49,395
53,Samsung Item 53,Electronics,Laptops,Logitech,766.99,498.54,458
54,Logitech Item 54,Books,Fiction,Apple,685.99,445.89,263
55,Nike Item 55,Sports,Fitness,LG,856.99,557.04,416
56,Apple Item 56,Beauty,Hair,Apple,425.99,276.89,165
57,Logitech Item 57,Beauty,Skin,Dell,461.99,300.29,263
58,Logitech Item 58,Sports,Outdoor,Adidas,1408.99,915.84,280
59,Apple Item 59,Home,Furniture,Logitech,254.99,165.74,471
60,LG Item 60,Fashion,Clothing,Philips,1245.99,809.89,489
61,LG Item 61,Beauty,Skin,HP,130.99,85.14,83
62,Logitech Item 62,Beauty,Skin,Apple,516.99,336.04,376
63,HP Item 63,Fashion,Clothing,Nike,1206.99,784.54,356
64,Philips Item 64,Fashion,Clothing,Sony,546.99,355.54,336
65,Adidas Item 65,Beauty,Skin,Adidas,72.99,47.44,104
66,Apple Item 66,Home,Furniture,Sony,276.99,180.04,411
67,Sony Item 67,Books,Fiction,Philips,879.99,571.99,494
68,Philips Item 68,Fashion,Clothing,Nike,230.99,150.14,118
69,HP Item 69,Electronics,Phones,Adidas,998.99,649.34,388
70,Apple Item 70,Fashion,Shoes,Dell,453.99,295.09,309
71,Philips Item 71,Home,Kitchen,Apple,1311.99,852.79,312
72,Adidas Item 72,Sports,Outdoor,Apple,436.99,284.04,489
73,Samsung Item 73,Books,Fiction,Philips,1030.99,670.14,440
74,Sony Item 74,Books,Fiction,Adidas,143.99,93.59,242
75,Philips Item 75,Fashion,Clothing,LG,927.99,603.19,69
76,LG Item 76,Sports,Outdoor,LG,1285.99,835.89,87
77,Nike Item 77,Electronics,Laptops,Dell,453.99,295.09,375
78,HP Item 78,Sports,Fitness,Logitech,1476.99,960.04,343
79,Sony Item 79,Books,Fiction,Logitech,1262.99,820.94,186
80,Samsung Item 80,Fashion,Clothing,HP,811.99,527.79,184
81,HP Item 81,Electronics,Laptops,Nike,1111.99,722.79,112
82,Adidas Item 82,Fashion,Shoes,Nike,807.99,525.19,463
83,Nike Item 83,Fashion,Clothing,Nike,549.99,357.49,243
84,Apple Item 84,Home,Kitchen,Apple,186.99,121.54,312
85,Nike Item 85,Books,Business,Sony,978.99,636.34,287
86,Philips Item 86,Electronics,Accessories,Dell,113.99,74.09,304
87,LG Item 87,Books,Fiction,Nike,1443.99,938.59,38
88,Adidas Item 88,Electronics,Laptops,Philips,322.99,209.94,492
89,Philips Item 89,Fashion,Shoes,Sony,794.99,516.74,372
90,Adidas Item 90,Beauty,Hair,Sony,825.99,536.89,4
91,Sony Item 91,Home,Kitchen,Logitech,1053.99,685.09,393
92,HP Item 92,Sports,Outdoor,Apple,1065.99,692.89,283
93,Dell Item 93,Books,Business,HP,498.99,324.34,240
94,Dell Item 94,Fashion,Clothing,Dell,827.99,538.19,180
95,Adidas Item 95,Sports,Outdoor,Nike,449.99,292.49,195
96,Sony Item 96,Books,Business,Logitech,545.99,354.89,213
97,Sony Item 97,Home,Furniture,HP,432.99,281.44,269
98,Logitech Item 98,Beauty,Hair,Sony,1194.99,776.74,263
99,LG Item 99,Books,Business,Nike,1421.99,924.29,299
100,LG Item 100,Fashion,Shoes,LG,291.99,189.79,287
101,Sony Item 101,Fashion,Clothing,LG,1394.99,906.74,371
102,LG Item 102,Fashion,Shoes,Adidas,1242.99,807.94,456
103,Logitech Item 103,Fashion,Clothing,Logitech,310.99,202.14,450
104,Philips Item 104,Beauty,Skin,Samsung,1343.99,873.59,391
105,Sony Item 105,Books,Business,Adidas,1499.99,974.99,210
106,Samsung Item 106,Fashion,Clothing,LG,151.99,98.79,278
107,Philips Item 107,Electronics,Laptops,HP,384.99,250.24,17
108,Nike Item 108,Beauty,Hair,Samsung,1184.99,770.24,177
109,LG Item 109,Home,Furniture,Philips,1104.99,718.24,133
110,Sony Item 110,Electronics,Accessories,Samsung,628.99,408.84,432
111,Logitech Item 111,Sports,Outdoor,LG,282.99,183.94,188
112,LG Item 112,Fashion,Clothing,Logitech,652.99,424.44,403
113,Dell Item 113,Electronics,Accessories,Nike,549.99,357.49,61
114,Samsung Item 114,Fashion,Shoes,Logitech,879.99,571.99,175
115,Logitech Item 115,Sports,Outdoor,LG,548.99,356.84,290
116,Dell Item 116,Sports,Fitness,Apple,1096.99,713.04,471
117,Apple Item 117,Beauty,Skin,Apple,957.99,622.69,6
118,Dell Item 118,Books,Fiction,Adidas,213.99,139.09,400
119,Philips Item 119,Beauty,Skin,HP,975.99,634.39,280
120,Samsung Item 120,Fashion,Shoes,HP,1301.99,846.29,384
121,Nike Item 121,Home,Kitchen,Adidas,318.99,207.34,205
122,Dell Item 122,Beauty,Skin,Apple,1350.99,878.14,99
123,Philips Item 123,Home,Kitchen,Samsung,271.99,176.79,9
124,HP Item 124,Electronics,Laptops,Philips,388.99,252.84,349
125,Samsung Item 125,Sports,Fitness,Samsung,1036.99,674.04,249
126,Dell Item 126,Books,Fiction,Logitech,1486.99,966.54,396
127,HP Item 127,Electronics,Accessories,Philips,1200.99,780.64,369
128,HP Item 128,Electronics,Phones,Philips,987.99,642.19,318
129,Nike Item 129,Books,Fiction,Apple,251.99,163.79,182
130,Apple Item 130,Electronics,Accessories,HP,1187.99,772.19,220
131,Logitech Item 131,Fashion,Clothing,Nike,371.99,241.79,240
132,Apple Item 132,Books,Business,Apple,728.99,473.84,171
133,Dell Item 133,Home,Kitchen,Nike,514.99,334.74,366
134,Dell Item 134,Fashion,Shoes,Logitech,290.99,189.14,260
135,Sony Item 135,Home,Furniture,Samsung,933.99,607.09,472
136,LG Item 136,Home,Furniture,Philips,182.99,118.94,329
137,Apple Item 137,Fashion,Clothing,Philips,1014.99,659.74,186
138,Logitech Item 138,Electronics,Laptops,Apple,1243.99,808.59,349
139,HP Item 139,Beauty,Hair,Samsung,1205.99,783.89,58
140,Samsung Item 140,Sports,Outdoor,Philips,1240.99,806.64,160
141,Philips Item 141,Sports,Outdoor,Logitech,1173.99,763.09,227
142,Apple Item 142,Books,Fiction,Logitech,614.99,399.74,415
143,HP Item 143,Electronics,Phones,Nike,553.99,360.09,211
144,Logitech Item 144,Home,Furniture,HP,260.99,169.64,291
145,Philips Item 145,Home,Kitchen,Sony,864.99,562.24,356
146,HP Item 146,Beauty,Hair,Philips,26.99,17.54,336
147,Philips Item 147,Beauty,Hair,Nike,22.99,14.94,122
148,LG Item 148,Electronics,Phones,Samsung,705.99,458.89,50
149,Dell Item 149,Beauty,Hair,Philips,1056.99,687.04,439
150,Adidas Item 150,Books,Fiction,Adidas,335.99,218.39,169
151,Sony Item 151,Books,Business,Philips,683.99,444.59,155
152,Dell Item 152,Electronics,Laptops,Sony,47.99,31.19,89
153,Nike Item 153,Sports,Outdoor,Apple,850.99,553.14,17
154,LG Item 154,Beauty,Skin,Samsung,156.99,102.04,215
155,Nike Item 155,Electronics,Accessories,Adidas,635.99,413.39,132
156,Samsung Item 156,Electronics,Phones,HP,1366.99,888.54,97
157,Dell Item 157,Books,Business,Philips,33.99,22.09,448
158,Logitech Item 158,Fashion,Clothing,Nike,1369.99,890.49,163
159,Nike Item 159,Fashion,Clothing,Logitech,229.99,149.49,63
160,Sony Item 160,Home,Furniture,Dell,1272.99,827.44,276
161,Philips Item 161,Electronics,Phones,Nike,1385.99,900.89,254
162,Dell Item 162,Electronics,Accessories,Sony,259.99,168.99,392
163,LG Item 163,Electronics,Accessories,Apple,911.99,592.79,473
164,Sony Item 164,Beauty,Skin,Philips,135.99,88.39,113
165,Sony Item 165,Fashion,Shoes,Apple,1057.99,687.69,289
166,Adidas Item 166,Sports,Outdoor,Philips,247.99,161.19,440
167,Nike Item 167,Fashion,Clothing,Logitech,715.99,465.39,233
168,Nike Item 168,Fashion,Shoes,Logitech,387.99,252.19,496
169,Dell Item 169,Home,Kitchen,HP,755.99,491.39,252
170,Dell Item 170,Books,Business,Apple,865.99,562.89,112
171,Samsung Item 171,Beauty,Skin,HP,399.99,259.99,34
172,Apple Item 172,Fashion,Clothing,Logitech,1080.99,702.64,173
173,HP Item 173,Electronics,Accessories,Sony,682.99,443.94,469
174,Adidas Item 174,Beauty,Skin,HP,688.99,447.84,0
175,HP Item 175,Fashion,Shoes,Sony,667.99,434.19,189
176,Nike Item 176,Beauty,Hair,Dell,1323.99,860.59,254
177,Apple Item 177,Home,Furniture,Samsung,1234.99,802.74,277
178,Nike Item 178,Fashion,Clothing,Apple,1071.99,696.79,286
179,Sony Item 179,Books,Business,Samsung,251.99,163.79,344
180,Nike Item 180,Fashion,Clothing,LG,656.99,427.04,57
181,Dell Item 181,Home,Kitchen,HP,332.99,216.44,423
182,HP Item 182,Sports,Fitness,Dell,766.99,498.54,445
183,Nike Item 183,Electronics,Accessories,Samsung,56.99,37.04,361
184,LG Item 184,Sports,Outdoor,HP,446.99,290.54,51
185,Sony Item 185,Electronics,Accessories,Nike,252.99,164.44,40
186,Philips Item 186,Beauty,Hair,HP,937.99,609.69,351
187,LG Item 187,Home,Furniture,Samsung,1184.99,770.24,385
188,Samsung Item 188,Books,Fiction,Sony,1278.99,831.34,129
189,Logitech Item 189,Fashion,Shoes,Samsung,612.99,398.44,359
190,Sony Item 190,Sports,Outdoor,HP,1002.99,651.94,331
191,HP Item 191,Fashion,Clothing,HP,676.99,440.04,284
192,Philips Item 192,Fashion,Clothing,Dell,192.99,125.44,187
193,Philips Item 193,Books,Business,Sony,973.99,633.09,346
194,Nike Item 194,Beauty,Hair,Nike,1138.99,740.34,101
195,LG Item 195,Home,Kitchen,Logitech,420.99,273.64,370
196,Logitech Item 196,Beauty,Skin,Apple,347.99,226.19,386
197,Sony Item 197,Electronics,Accessories,Apple,659.99,428.99,230
198,Dell Item 198,Books,Business,HP,1083.99,704.59,341
199,Dell Item 199,Books,Business,HP,882.99,573.94,200
200,LG Item 200,Fashion,Shoes,Adidas,330.99,215.14,344
201,Logitech Item 201,Books,Business,LG,501.99,326.29,196
202,Nike Item 202,Home,Furniture,HP,721.99,469.29,235
203,Samsung Item 203,Books,Fiction,Adidas,992.99,645.44,54
