ReturnID,OrderID,ProductID,Reason,RefundAmount
1,1,471,Damaged,2690.14
2,4,6,Wrong Item,304.69
3,6,248,Damaged,782.45
4,9,127,Wrong Item,3307.52
5,15,308,Wrong Item,3312.54
6,29,379,No Longer Needed,1050.17
7,29,399,Damaged,276.99
8,31,480,Damaged,1531.2
9,31,84,No Longer Needed,181.75
10,41,184,Wrong Item,458.61
11,41,355,Wrong Item,99.34
12,41,321,No Longer Needed,624.23
13,49,417,Wrong Item,1842.67
14,50,367,Wrong Item,385.55
15,67,151,No Longer Needed,2954.84
16,67,231,Damaged,223.97
17,70,264,Damaged,4213.59
18,70,179,Damaged,925.31
19,78,98,No Longer Needed,3484.59
20,78,243,Damaged,5463.9
21,79,500,Damaged,767.44
22,79,384,Damaged,1844.73
23,79,286,Wrong Item,1007.93
24,101,375,Wrong Item,1990.19
25,108,452,Wrong Item,1064.31
26,112,340,Damaged,2536.25
27,112,229,No Longer Needed,1685.42
28,113,399,No Longer Needed,261.6
29,113,142,No Longer Needed,1195.54
30,113,239,Wrong Item,520.95
31,131,211,Wrong Item,476.27
32,150,346,Damaged,1758.2
33,150,226,Damaged,1084.71
34,150,123,Damaged,793.12
35,153,195,Damaged,386.47
36,159,416,Wrong Item,1297.59
37,159,171,Wrong Item,777.58
38,164,311,No Longer Needed,1049.75
39,174,323,No Longer Needed,2203.17
40,174,100,Damaged,946.05
41,187,411,Wrong Item,4527.54
42,197,276,Wrong Item,539.76
43,197,217,Wrong Item,2900.43
44,200,238,Wrong Item,257.95
45,203,329,Damaged,477.08
46,203,480,Wrong Item,1621.27
47,203,263,Wrong Item,723.37
48,203,226,Wrong Item,1205.24
49,209,228,No Longer Needed,903.95
50,226,428,Damaged,695.48
51,229,415,Wrong Item,1185.13
52,235,483,Damaged,2473.06
53,235,72,Wrong Item,471.95
54,236,478,No Longer Needed,609.42
55,253,204,Wrong Item,3734.39
56,253,144,No Longer Needed,761.04
57,275,381,No Longer Needed,3318.05
58,276,194,No Longer Needed,4920.44
59,276,377,No Longer Needed,1572.67
60,285,172,Wrong Item,2334.94
61,285,445,Wrong Item,43.07
62,289,109,No Longer Needed,3580.17
63,299,329,Wrong Item,1506.57
64,299,152,Wrong Item,44.05
65,299,495,Wrong Item,2843.07
66,307,23,No Longer Needed,1277.82
67,316,476,Wrong Item,2374.89
68,332,187,Damaged,1087.82
69,333,72,Wrong Item,1203.47
70,336,358,Wrong Item,261.6
71,336,311,Wrong Item,2332.78
72,341,51,Wrong Item,680.21
73,341,240,Wrong Item,4879.61
74,341,151,No Longer Needed,701.77
75,343,298,No Longer Needed,2880.65
76,357,477,Wrong Item,3285.49
77,357,378,No Longer Needed,1342
78,359,493,No Longer Needed,1464.45
79,359,33,Wrong Item,3851.9
80,384,182,Wrong Item,2236.54
81,434,246,Damaged,4727.77
82,448,76,Wrong Item,3749.94
83,458,180,No Longer Needed,2412.47
84,458,48,Wrong Item,2233.63
85,458,235,Damaged,3395.65
86,465,264,Wrong Item,2965.12
87,468,431,Wrong Item,364.47
88,483,98,No Longer Needed,3678.18
89,483,257,Wrong Item,4694.93
90,484,379,Damaged,1050.17
91,484,188,Wrong Item,1174.11
92,485,52,No Longer Needed,1239.27
93,506,211,No Longer Needed,857.28
94,517,179,Wrong Item,244.93
95,520,118,Wrong Item,392.88
96,524,142,Damaged,664.19
97,532,388,Wrong Item,3257.95
98,538,352,Damaged,4710.93
99,538,120,Damaged,1195.23
100,542,64,No Longer Needed,1595.02
101,546,14,No Longer Needed,3687.09
102,563,199,No Longer Needed,2717.84
103,563,483,No Longer Needed,1842.67
104,567,364,No Longer Needed,1883.71
105,571,193,No Longer Needed,3997.25
106,571,141,No Longer Needed,3613.54
107,571,2,No Longer Needed,94.54
108,589,362,Wrong Item,1235.48
109,592,457,No Longer Needed,2711.85
110,592,224,Damaged,900.05
111,597,270,Damaged,693.33
112,612,330,Wrong Item,1625.16
113,612,98,No Longer Needed,3871.77
114,620,318,No Longer Needed,650.14
115,621,90,No Longer Needed,758.26
116,621,486,No Longer Needed,716.01
117,621,454,Damaged,458.99
118,627,212,Wrong Item,2606.87
119,633,127,Damaged,2594.14
120,633,231,Wrong Item,527
121,635,306,No Longer Needed,1638.77
122,635,451,No Longer Needed,1891.06
123,644,15,Damaged,2969.98
124,644,486,Wrong Item,238.67
125,644,443,No Longer Needed,864.75
126,657,175,No Longer Needed,1370.71
127,657,108,Damaged,2559.58
128,657,451,No Longer Needed,4004.6
129,666,424,Wrong Item,2402.75
130,672,213,No Longer Needed,2044.08
131,672,130,Damaged,1283.03
132,672,411,No Longer Needed,1331.63
133,677,392,Damaged,2690.45
134,677,226,Wrong Item,271.18
135,677,299,Damaged,209.92
136,683,413,Wrong Item,1377.31
137,683,118,No Longer Needed,196.44
138,684,489,Damaged,1643.63
139,687,15,Wrong Item,1484.99
140,703,464,Damaged,2261
141,716,313,Wrong Item,4506.15
142,721,154,No Longer Needed,152.59
143,721,293,No Longer Needed,4756.49
144,732,112,Wrong Item,2820.92
145,733,298,Wrong Item,2033.4
146,733,285,No Longer Needed,961.35
147,737,246,No Longer Needed,1247.61
148,737,479,No Longer Needed,2074.66
149,751,157,No Longer Needed,33.04
150,751,71,Wrong Item,4817.63
151,759,243,Damaged,1365.97
152,762,316,Damaged,1184.86
153,762,357,No Longer Needed,989.04
154,764,343,No Longer Needed,2459.13
155,767,182,Damaged,1408.19
156,770,457,No Longer Needed,1707.46
157,770,202,Wrong Item,662.79
158,786,127,Damaged,2334.72
159,786,472,No Longer Needed,808.47
