ShipmentID,OrderID,Carrier,ShipDate,DeliveryDate,DeliveryStatus
1,1,USPS,2025-11-21,2025-11-25,Delivered
2,2,DHL,2025-02-07,2025-02-10,Delayed
3,3,DHL,2025-01-14,2025-01-20,In Transit
4,4,DHL,2025-11-19,2025-11-26,In Transit
5,5,FedEx,2025-11-29,2025-12-04,Delayed
6,6,UPS,2025-02-15,2025-02-20,Delayed
7,7,USPS,2025-02-01,2025-02-05,In Transit
8,8,UPS,2025-10-19,2025-10-25,Delayed
9,9,DHL,2025-12-28,2025-12-30,Delivered
10,10,DHL,2025-04-25,2025-04-29,Delayed
11,11,FedEx,2025-08-03,2025-08-10,Delivered
12,12,DHL,2025-08-01,2025-08-06,Delivered
13,13,FedEx,2025-11-16,2025-11-19,Delayed
14,14,USPS,2025-04-06,2025-04-07,In Transit
15,15,DHL,2025-01-28,2025-02-01,Delayed
16,16,FedEx,2025-11-25,2025-11-30,In Transit
17,17,USPS,2025-01-22,2025-01-26,Delayed
18,18,DHL,2025-12-05,2025-12-12,Delayed
19,19,DHL,2025-09-15,2025-09-22,In Transit
20,20,USPS,2025-06-20,2025-06-21,Delayed
21,21,UPS,2025-06-14,2025-06-16,Delivered
22,22,USPS,2025-03-03,2025-03-10,In Transit
23,23,USPS,2025-12-13,2025-12-15,Delivered
24,24,DHL,2025-09-12,2025-09-14,In Transit
25,25,UPS,2025-06-10,2025-06-16,Delivered
26,26,DHL,2025-04-20,2025-04-27,In Transit
27,27,UPS,2025-06-20,2025-06-25,Delayed
28,28,UPS,2025-10-14,2025-10-19,Delivered
29,29,FedEx,2025-05-30,2025-06-06,Delivered
30,30,USPS,2025-06-04,2025-06-09,Delivered
31,31,USPS,2025-09-16,2025-09-21,Delivered
32,32,DHL,2025-05-23,2025-05-29,In Transit
33,33,USPS,2025-09-06,2025-09-10,Delivered
34,34,UPS,2025-05-16,2025-05-17,Delivered
35,35,DHL,2025-04-01,2025-04-08,Delivered
36,36,DHL,2025-11-20,2025-11-27,Delivered
37,37,UPS,2025-07-12,2025-07-16,In Transit
